timestamp,open,high,low,close,volume,rate_of_return
2022-06-02,0.553,0.597,0.55,0.584,965699.2,0.059891107078039685
2022-06-03,0.583,0.607,0.539,0.56,451666.66,-0.041095890410958735
2022-06-04,0.56,0.571,0.545,0.567,196266.93,0.012499999999999734
2022-06-05,0.566,0.581,0.554,0.566,189213.37,-0.0017636684303351524
2022-06-06,0.568,0.645,0.568,0.609,787693.22,0.07597173144876335
2022-06-07,0.607,0.645,0.572,0.613,457909.15,0.006568144499178974
2022-06-08,0.611,0.669,0.608,0.642,691880.23,0.047308319738988525
2022-06-09,0.639,0.658,0.626,0.632,334701.61,-0.015576323987538943
2022-06-10,0.632,0.635,0.569,0.573,631596.38,-0.09335443037974689
2022-06-11,0.579,0.617,0.544,0.553,447225.09,-0.03490401396160547
2022-06-12,0.559,0.561,0.489,0.496,975654.61,-0.10307414104882473
2022-06-13,0.497,0.497,0.438,0.462,1599612.12,-0.06854838709677413
2022-06-14,0.463,0.519,0.438,0.481,1838775.81,0.04112554112554112
2022-06-15,0.48,0.539,0.449,0.534,3897629.56,0.11018711018711036
2022-06-16,0.536,0.547,0.467,0.477,266321.33,-0.1067415730337079
2022-06-17,0.478,0.504,0.472,0.486,113916.27,0.018867924528301883
2022-06-18,0.491,0.495,0.421,0.455,301638.11,-0.06378600823045266
2022-06-19,0.456,0.489,0.437,0.486,259728.1,0.06813186813186811
2022-06-20,0.487,0.51,0.462,0.491,228425.0,0.010288065843621519
2022-06-21,0.491,0.511,0.475,0.478,214516.07,-0.02647657841140527
2022-06-22,0.476,0.48,0.457,0.46,112665.69,-0.03765690376569031
2022-06-23,0.462,0.483,0.462,0.482,87446.42,0.047826086956521685
2022-06-24,0.479,0.509,0.477,0.497,175272.23,0.03112033195020758
2022-06-25,0.496,0.507,0.479,0.496,88868.99,-0.002012072434607659
2022-06-26,0.495,0.525,0.489,0.489,167524.75,-0.014112903225806495
2022-06-27,0.494,0.509,0.476,0.486,121706.89,-0.006134969325153339
2022-06-28,0.486,0.497,0.467,0.472,106437.12,-0.028806584362139898
2022-06-29,0.473,0.477,0.46,0.465,94061.4,-0.01483050847457612
2022-06-30,0.464,0.465,0.436,0.46,290505.13,-0.010752688172043001
2022-07-01,0.459,0.474,0.443,0.447,156091.22,-0.02826086956521745
2022-07-02,0.451,0.461,0.441,0.457,75614.72,0.022371364653243964
2022-07-03,0.455,0.46,0.444,0.453,89606.18,-0.008752735229759279
2022-07-04,0.452,0.476,0.445,0.469,146352.88,0.03532008830022071
2022-07-05,0.471,0.472,0.445,0.458,120950.51,-0.023454157782515916
2022-07-06,0.456,0.465,0.448,0.462,91439.56,0.008733624454148492
2022-07-07,0.462,0.482,0.462,0.477,170512.75,0.03246753246753231
2022-07-08,0.476,0.493,0.461,0.468,174245.04,-0.01886792452830177
2022-07-09,0.467,0.484,0.466,0.477,159011.34,0.019230769230769162
2022-07-10,0.477,0.479,0.456,0.461,164741.19,-0.03354297693920327
2022-07-11,0.461,0.462,0.432,0.434,215612.6,-0.05856832971800441
2022-07-12,0.433,0.442,0.416,0.418,156801.87,-0.03686635944700467
2022-07-13,0.417,0.441,0.403,0.438,1021514.64,0.04784688995215314
